CODIGO MUESTRA;Código SNGM;Código Visita Terreno;Código Mapa;Nombre Punto de Agua;UTM E (WGS 84 18S);UTM N (WGS 84 18S);Altura GPS nav;Tipo;Categoría;Propietario o nombre de cuerpo de agua;FECHA;Hora;pH;Conductividad (uS/cm);Oxígeno disuelto (mg/l);Temperatura (°C);Temperatura (°K));ORP (mV);ORP (V);pe (25 °C);Eh SHE (mV);Eh SHE (V);pe SHE (25 °C);pe SHE (T°K);Observación;Informe Laboratorio;pH;Conductividad Laboratorio (uS/cm);Hidróxidos (mg/l);Carbonatos (mg/l);Bicarbonatos (mg/l);Ión Hidrógeno (mg/l);Fúor (mg/l);Calcio (mg/l);Magnesio (mg/l);Sodio (mg/l);Potasio (mg/l);Litio (mg/l);Sulfatos (mg/l);Cloruros (mg/l);Nitratos (mg/l);Alcalinidad Total (mg/l);Acidez (mg/l);Dureza Total (mg/l);Dureza carbonatosa (mg/l);Dureza no carbonatosa (mg/l);TSD (mg/l);TSD Evap, 103ºC (mg/l);Aluminio;Antimonio;Arsenico;Bario;Berilio;Boro;Cadmio;Cobalto;Cobre;Cromo;Estaño;Fosforo;Hierro;Manganeso;Molibdeno;Plata;Plomo;Selenio;Vanadio;Zinc;Mercurio (mg/l);COT (mg/l);Br (mg/l)   ;Rb (mg/l)   ;Sr (mg/l)   ;Y (mg/l)    ;Cs (mg/l)   ;Hf (mg/l)  ;Ta (mg/l)   ;Tl (mg/l)   ;Th (mg/l)   ;U (mg/l)    ;Ni (mg/l);SiO2 (mg/l);NH4 (mg/l);CO2 (mg/l);,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUD-FA-011;SNGM-PUD-0033;FA-186;;;615846;5361288;52;Noria;Noria;José Reyes;25-01-18;;6.22;100;6.98;21.01;294.16;213.7;0.2137;3.6115;418.7;0.4187;7.0760;7.1722;;2018-022;6.48;100;;0.0;45;;<0,03;6.9;4.7;5.3;0.73;<0,02;1.0;8.1;<3,0;37;;37;37;<1,0;49;52;0.021;<0,010;<0,005;<0,005;<0,002;<0,060;<0,002;<0,002;<0,010;<0,001;<0,003;<0,050;0.036;0.24;<0,005;<0,002;<0,002;0.008;<0,003;0.014;<0,0003;;0.148;<0,001;0.023;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,005;37;<0,05;61.6;,,,,,,
PUD-FA-012;SNGM-PUD-0053;FA-187;;;604487;5363982;14;Pozo;Pozo;APR Curamó;25-01-18;;7.11;245;7.38;14.29;287.44;-58.9;-0.0589;-0.9954;146.1;0.1461;2.4691;2.5611;;2018-022;7.08;229;;0.0;121;;0.08;15;12;16;2.8;<0,02;2.5;14;10;99;;84;84;<1,0;132;139;<0,020;<0,010;<0,005;0.005;<0,002;<0,060;<0,002;<0,002;<0,010;<0,001;<0,003;0.12;3.5;0.30;<0,005;<0,002;<0,002;<0,005;<0,003;0.034;<0,0003;;0.502;<0,001;0.056;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,005;48;<0,05;34.3;,,,,,,,,
PUD-FA-013;SNGM-PUD-0028;FA-188;;ND-1004-2348;616573;5349769;82;Pozo;Pozo;Marcos Aguilar;26-01-18;;6.67;136;10.50;12.63;285.78;93.8;0.0938;1.5852;298.8;0.2988;5.0497;5.2684;Se inicia bombeo para toma de muestra, Al comienzo el agua sale turbia pero a los minutos se aclara,;2018-022;6.02;126;;0.0;68;;0.07;10;4.7;8.3;1.8;<0,02;1.2;5.1;<3,0;56;;45;45;<1,0;65;69;0.027;<0,010;<0,005;<0,005;<0,002;<0,060;<0,002;<0,002;<0,010;<0,001;<0,003;0.091;3.4;0.016;<0,005;<0,002;<0,002;<0,005;0.013;0.12;<0,0003;;0.149;<0,001;0.041;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,005;47;<0,05;27.3;,,,,,,
PUD-FA-014;SNGM-PUD-0027;FA-189;;;616476;5350078;82;Noria;Noria;Marcos Aguilar;26-01-18;;5.55;46;6.01;15.70;288.85;271.3;0.2713;4.5850;476.3;0.4763;8.0495;8.3088;Se encuentra abierta y con cercado;2018-022;5.10;46;;0.0;5.5;;<0,03;3.0;0.90;3.0;1.5;<0,02;2.7;5.6;<3,0;4.0;;11;4.0;7.0;20;21;0.052;<0,010;<0,005;0.008;<0,002;<0,060;<0,002;<0,002;<0,010;<0,001;<0,003;<0,050;0.030;0.17;<0,005;<0,002;<0,002;0.008;<0,003;<0,010;<0,0003;;0.230;<0,001;0.013;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,005;<1;<0,05;31.7;,,,,,,,
PUD-FA-015;SNGM-PUD-0068;FA-191;;;608690;5354834;61;Noria;Noria;Carlos Wolf;26-01-18;3:43:15;5.97;68;5.81;13.93;287.08;286.5;0.2865;4.8419;491.5;0.4915;8.3064;8.6268;Se encuentra abierta y con cercado;2018-022;5.47;69;;0.0;18;;<0,03;3.6;1.9;6.8;0.34;<0,02;1.1;8.8;<3,0;14;;17;14;2.0;32;33;0.042;<0,010;<0,005;<0,005;<0,002;<0,060;<0,002;<0,002;<0,010;<0,001;<0,003;<0,050;0.064;0.010;<0,005;<0,002;<0,002;<0,005;<0,003;0.014;<0,0003;;0.131;<0,001;0.018;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,005;16;<0,05;41.4;,,,,,,
PUD-FA-016;SNGM-PUD-0069;FA-192;;;609946;5355086;48;Noria;Noria;Carlos Wolf;26-01-18;4:25:20;5.99;72;6.20;14.49;287.64;265.7;0.2657;4.4903;470.7;0.4707;7.9548;8.2457;Se encuentra cerrada con estructura de madera;2018-023;5.91;73;;0.0;23;;<0,03;6.0;1.4;4.9;5.6;0.10;1.5;9.7;<3,0;19;;21;19;1.0;42;44;<0,020;<0,010;<0,005;<0,005;<0,002;0.18;<0,002;<0,002;0.086;<0,001;<0,003;<0,050;0.024;<0,003;<0,005;<0,002;0.003;<0,005;<0,003;0.043;<0,0003;;0.096;0.001;0.025;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,005;17.1;<0,05;15.0;,,,,,,,,,
PUD-FA-017;SNGM-PUD-0070;FA-194;70;ND-1004-1200;603850;5349648;33;Vertiente;Vertiente;Sergio Concha;27-01-18;10:22:21;6.22;58;7.06;11.93;285.08;270.7;0.2707;4.5748;475.7;0.4757;8.0393;8.4081;Se encuentra abierta, con abundante vegetación, caudal de flujo <0,2;2018-023;6.05;62;;0.0;22;;<0,03;3.9;1.3;5.0;<0,10;<0,02;1.0;7.9;3.0;18;;15;15;<1,0;33;35;0.027;<0,010;<0,005;<0,005;<0,002;0.12;<0,002;<0,002;<0,010;<0,001;<0,003;<0,050;<0,010;<0,003;<0,005;<0,002;<0,002;<0,005;<0,003;<0,010;<0,0003;;0.123;<0,001;0.027;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,005;28.9;<0,05;7.04;
PUD-FA-018;SNGM-PUD-0049;FA-195;;;611876;5342649;68;Noria;Noria;Jaime Villagrán;14-02-17;16:27:53;5.33;35;5.09;12.97;286.12;295.0;0.2950;4.9855;500.0;0.5000;8.4500;8.8055;Se encuentra abierta;2018-023;5.47;33;;0.0;7.5;;<0,03;0.90;0.60;2.8;0.34;<0,02;1.5;4.1;<3,0;6.0;;4.0;4.0;<1,0;15;16;0.070;<0,010;<0,005;0.006;<0,002;0.078;<0,002;<0,002;<0,010;<0,001;<0,003;<0,050;<0,010;0.081;<0,005;<0,002;<0,002;<0,005;<0,003;0.016;<0,0003;;0.091;<0,001;0.013;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,005;15.0;<0,05;16.7;,,,,,,
PUD-FA-019;SNGM-PUD-0044;FA-196;;ND-1004-2062;608405;5332736;131;Pozo;Pozo;APR Degan;14-02-17;10:20:58;6.00;66;7.07;12.17;285.32;237.4;0.2374;4.0121;442.4;0.4424;7.4766;7.8129;;2018-023;6.11;68;;0.0;32;;0.03;5.0;2.0;4.7;0.44;<0,02;<1,0;4.8;<3,0;26;;21;21;<1,0;33;35;<0,020;<0,010;<0,005;<0,005;<0,002;<0,060;<0,002;<0,002;<0,010;<0,001;<0,003;<0,050;0.15;<0,003;<0,005;<0,002;<0,002;<0,005;<0,003;0.011;<0,0003;;0.144;<0,001;0.035;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,005;41.7;<0,05;17.6;,,,
PUD-FA-020;SNGM-PUD-0071;FA-197;;;609453;5332394;117;Noria;Noria;Hella Stange;27-01-18;4:53:56;5.31;49;7.52;15.88;289.03;290.8;0.2908;4.9145;495.8;0.4958;8.3790;8.6436;Noria se encuentra al lado de la carretera, cubierta por una tapa de lata;2018-023;5.44;50;;0.0;5.5;;<0,03;2.2;1.2;4.0;0.20;<0,02;<1,0;7.3;8.0;4.0;;10;4.0;6.0;26;28;0.056;<0,010;<0,005;0.005;<0,002;<0,060;<0,002;<0,002;0.084;<0,001;<0,003;<0,050;<0,010;0.020;<0,005;<0,002;0.005;<0,005;<0,003;0.027;<0,0003;;0.091;<0,001;0.009;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,005;17.1;<0,05;17.6;,,,,,,,
PUD-FA-021;SNGM-PUD-0072;FA-199;;;611513;5360914;46;Noria;Noria;Mariela Nuñez;28-01-18;1:49:47;5.80;41;7.70;12.53;285.68;287.9;0.2879;4.8655;492.9;0.4929;8.3300;8.6938;Se encuentra tapado con hormigón, EL dueño indica que el agua parece tener alto contenido en Fe;2018-023;5.80;44;;0.0;4.5;;<0,03;1.0;0.70;4.7;0.20;<0,02;1.4;9.8;<3,0;4.0;;5.0;4.0;2.0;20;21;0.063;<0,010;<0,005;<0,005;<0,002;<0,060;<0,002;<0,002;<0,010;<0,001;<0,003;<0,050;<0,010;<0,003;<0,005;<0,002;<0,002;<0,005;<0,003;0.018;<0,0003;;0.053;<0,001;0.008;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,005;5.35;<0,05;6.16;,,,
PUD-FA-022;SNGM-PUD-0016;FA-201;;;612726;5358816;58;Noria;Noria;Escuela Rural El Quilar;28-01-18;;5.60;43;6.74;12.87;286.02;262.8;0.2628;4.4413;467.8;0.4678;7.9058;8.2413;Se utiliza bailer en muestreo;2018-023;5.66;41;;0.0;6.5;;<0,03;2.4;1.0;3.2;0.10;<0,02;5.1;5.3;<3,0;5.0;;10;5.0;5.0;20;21;0.026;<0,010;<0,005;<0,005;<0,002;<0,060;<0,002;<0,002;<0,010;<0,001;<0,003;<0,050;<0,010;0.007;<0,005;<0,002;<0,002;<0,005;<0,003;0.023;<0,0003;;0.067;<0,001;0.008;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,005;5.35;<0,05;11.4;,,,,,
PUD-FA-023;SNGM-PUD-0073;FA-202;;;602466;5363294;13;Noria;Noria;Ramón Sotomayor Torres;28-01-18;5:36:14;5.70;211;4.51;20.56;293.71;224.9;0.2249;3.8008;429.9;0.4299;7.2653;7.3753;Se encuentra cerrada y sin tapa, Se toma muestra en llave lateral a casa;2018-023;6.05;210;;0.0;21;;<0,03;8.0;1.9;21;7.2;<0,02;12;36;12;17;;28;17;11;108;114;0.041;<0,010;<0,005;0.044;<0,002;<0,060;<0,002;<0,002;0.17;<0,001;<0,003;<0,050;0.58;0.28;<0,005;<0,002;<0,002;<0,005;<0,003;0.091;<0,0003;;0.319;0.007;0.061;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,005;5.35;<0,05;9.68;,,,,,,,,,
PUD-FA-024;SNGM-PUD-0074;FA-203;;;609040;5358136;47;Noria;Noria;José Aguilar;29-01-18;9:43:42;6.26;66;6.88;15.95;289.10;248.0;0.2480;4.1912;;0.0000;0.0000;0.0000;;2018-023;6.22;69;;0.0;28;;<0,03;3.5;2.6;5.1;0.28;<0,02;1.1;8.2;<3,0;23;;19;19;<1,0;34;36;<0,020;<0,010;<0,005;<0,005;<0,002;<0,060;<0,002;<0,002;<0,010;<0,001;<0,003;<0,050;0.010;<0,003;<0,005;<0,002;<0,002;<0,005;<0,003;0.023;<0,0003;;0.103;<0,001;0.020;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,005;15.0;0.59;9.68;,,,,
PUD-FA-025;SNGM-PUD-0079;FA-204;79;;608053;5352649;76;Vertiente;Vertiente;Rigoberto Guineo;29-01-18;10:47:30;5.72;32;7.07;16.95;290.10;227.9;0.2279;3.8515;453.0;0.4530;7.6557;7.8683;EL agua surge de nivel de suelo vegetal, Presenta excavación manual para acopio de aprox 1 m, Se observa en nivel saturado, abundante contenido de óxidos de Fe,;2018-023;5.81;32;;0.0;6.7;;<0,03;0.80;0.70;3.8;<0,10;<0,02;1.1;5.3;<3,0;6.0;;5.0;5.0;<1,0;16;17;<0,020;<0,010;<0,005;<0,005;<0,002;<0,060;<0,002;<0,002;0.010;<0,001;<0,003;<0,050;0.068;0.012;<0,005;<0,002;<0,002;<0,005;<0,003;0.029;<0,0003;;0.102;<0,001;0.008;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,005;<1;<0,05;8.80;
PUD-FA-026;SNGM-PUD-0080;FA-205;80;;604638;5360231;50;Vertiente;Vertiente;Cesar Braunau;29-01-18;12:18:49;5.60;67;5.93;11.73;284.88;139.3;0.1393;2.3542;344.3;0.3443;5.8187;6.0898;Vertiente en uso hace más de 100 años, Se utilizan camarones para aumentar el flujo,;2018-023;5.86;65;;0.0;12;;<0,03;2.0;1.8;6.1;0.20;<0,02;2.2;12;<3,0;10;;12;10;2.0;31;32;0.058;<0,010;<0,005;<0,005;<0,002;<0,060;<0,002;<0,002;<0,010;<0,001;<0,003;<0,050;1.4;0.067;<0,005;<0,002;<0,002;<0,005;<0,003;0.021;<0,0003;;0.099;<0,001;0.016;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,005;<1;<0,05;11.4;,,,,
PUD-FA-027;SNGM-PUD-0054;FA-206;;ND-1004-2066;601870;5363942;13;Pozo;Pozo;Cermaq;29-01-18;;7.02;5341;3.24;14.74;287.89;-63.1;-0.0631;-1.0664;141.9;0.1419;2.3981;2.4836;Alto contenido en Fe y Mn;2018-023;6.68;5460;;0.0;201;;0.06;430;306;166;26;0.04;1.6;1828;<3,0;165;;2331;165;2167;2856;3016;0.021;<0,010;<0,005;0.27;<0,002;0.093;<0,002;<0,002;<0,010;<0,001;<0,003;0.214;37;4.68;<0,005;<0,002;<0,002;<0,005;<0,003;0.063;<0,0003;;7.926;0.024;2.016;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,005;37.4;6.19;25.5;,,,,,,,,,,,,,
PUD-FA-028;SNGM-PUD-0025;FA-207;;;625980;5345994;18;Puntera;Puntera;APR Lliuco;29-01-18;;6.88;121;5.57;15.63;288.78;47.0;0.0470;0.7943;252.0;0.2520;4.2588;4.3971;El agua se obtiene desde estanque que se encuentra previo a la cloración,;2018-023;6.56;120;;0.0;55;;0.05;7.0;6.3;6.9;1.9;<0,02;2.7;7.9;<3,0;45;;43;43;<1,0;60;63;<0,020;<0,010;<0,005;<0,005;<0,002;<0,060;<0,002;<0,002;<0,010;<0,001;<0,003;<0,050;1.8;0.064;<0,005;<0,002;<0,002;<0,005;<0,003;0.013;<0,0003;;0.378;0.002;0.031;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,005;26.7;<0,05;8.80;,,,,,
PUD-FA-029;SNGM-PUD-0081;FA-209;81;;613190;5332654;112;Cuerpo de agua superficial;Río;;30-01-18;2:48:02;7.21;80;7.57;13.88;287.03;212.7;0.2127;3.5946;417.7;0.4177;7.0591;7.3328;Río Paila;2018-023;6.57;84;;0.0;43;;0.06;5.9;3.6;4.9;1.3;<0,02;<1,0;4.7;<3,0;35;;29;29;<1,0;42;45;0.14;<0,010;<0,005;<0,005;<0,002;<0,060;<0,002;<0,002;<0,010;<0,001;<0,003;<0,050;0.27;0.007;<0,005;<0,002;<0,002;<0,005;0.006;<0,010;<0,0003;;0.196;<0,001;0.029;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,005;22.5;<0,05;7.04;,,,,,
PUD-FA-030;SNGM-PUD-0082;FA-210;82;;617460;5331173;147;Cuerpo de agua superficial;Río;;30-01-18;3:40:20;7.29;38;7.22;23.81;296.96;176.1;0.1761;2.9761;381.1;0.3811;6.4406;6.4665;Puente Medina;2018-023;6.11;40;;0.0;15;;<0,03;2.3;1.1;3.7;0.41;<0,02;<1,0;4.1;<3,0;13;;10;10;<1,0;20;21;0.066;<0,010;<0,005;<0,005;<0,002;<0,060;<0,002;<0,002;<0,010;<0,001;<0,003;<0,050;0.38;0.010;<0,005;<0,002;<0,002;<0,005;<0,003;<0,010;<0,0003;;0.174;<0,001;0.014;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,001;<0,005;<1;<0,05;6.16;,,,
PUD-FA-031;SNGM-PUD-0083;FA-211;83;;617681;5331305;140;Cuerpo de agua superficial;Río;;30-01-18;4:13:37;7.36;61;7.34;15.43;288.58;181.3;0.1813;3.0640;386.3;0.3863;6.5285;6.7451;Puente Medina 2;2018-024;6.90;64;;0.0;30;;<0,03;3.5;3.0;3.8;1.2;<0,02;<1,0;4.4;<3,0;25;;21;21;<1,0;31;33;0.131;<0,010;<0,005;<0,005;<0,002;<0,060;<0,002;<0,002;<0,010;<0,001;<0,003;<0,050;0.737;0.013;<0,005;<0,002;<0,002;<0,005;<0,003;0.012;;;0.170;0.001;0.020;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;;<1,0;<0,05;6.20;,,,,,,,,,,,,,
PUD-FA-032;SNGM-PUD-0084;FA-212;84;;608927;5344822;30;Cuerpo de agua superficial;Río;;31-01-18;11:06:24;7.49;75;8.94;13.66;286.81;218.1;0.2181;3.6859;423.1;0.4231;7.1504;7.4333;Río Vilcún en Belben, Estación DGA;2018-024;6.92;79;;0.0;38;;<0,03;5.1;3.2;5.0;0.80;<0,02;<1,0;5.3;<3,0;31;;26;26;<1,0;39;41;0.067;<0,010;<0,005;<0,005;<0,002;<0,060;<0,002;<0,002;<0,010;<0,001;<0,003;<0,050;0.291;0.007;<0,005;<0,002;<0,002;<0,005;0.003;0.01;;;0.120;<0.001;0.029;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;;<1,0;<0,05;7.90;,,,,,,,,,,,,,
PUD-FA-033;SNGM-PUD-0085;FA-214;85;;610623;5346025;37;Cuerpo de agua superficial;Río;;31-01-18;11:59:54;7.22;117;9.10;11.39;284.54;121.2;0.1212;2.0483;326.2;0.3262;5.5128;5.7766;Puente Pincoya;2018-024;7.02;122;;0.0;66;;<0,03;9.8;5.0;6.5;2.0;<0,02;1.2;5.7;<3,0;54;;45;45;<1,0;62;66;0.084;<0,010;<0,005;<0,005;<0,002;<0,060;<0,002;<0,002;<0,010;<0,001;<0,003;0.054;0.285;0.013;<0,005;<0,002;<0,002;<0,005;0.009;<0,010;;;0.104;<0.001;0.043;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;;11.8;<0,05;5.30;,,,,,,,,,,,,,,,,
PUD-FA-034;SNGM-PUD-0086;FA-215;86;;608286;5347892;23;Cuerpo de agua superficial;Río;;31-01-18;12:43:14;7.39;99;8.01;16.33;289.48;211.4;0.2114;3.5727;416.4;0.4164;7.0372;7.2481;Puente Vernet;2018-024;7.12;103;;0.0;55;;0.03;7.0;4.2;5.3;1.4;<0,02;1.0;5.8;<3,0;45;;35;35;<1,0;52;55;0.074;<0,010;<0,005;<0,005;<0,002;<0,060;<0,002;<0,002;<0,010;<0,001;<0,003;<0,050;0.329;0.006;<0,005;<0,002;<0,002;<0,005;0.006;<0,010;;;0.086;0.001;0.034;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;;8.6;<0,05;5.30;,,,,,,,,,,,,,,,,
PUD-FA-035;SNGM-PUD-0087;FA-216;87;;603726;5347641;97;Vertiente;Vertiente;Luis Zuñiga Huineo;31-01-18;1:34:22;6.15;61;7.70;18.04;291.19;263.7;0.2637;4.4565;468.7;0.4687;7.9210;8.1105;Flujo natural menor a 0,1 l/s, Muestra se toma desde llave ubicada bajo estanque,;2018-024;6.40;64;;0.0;20;;<0,03;3.2;1.8;4.9;0.24;<0,02;<1,0;6.7;3.6;16;;15;15;<1,0;31;33;0.027;<0,010;<0,005;<0,005;<0,002;<0,060;<0,002;<0,002;<0,010;<0,001;<0,003;<0,050;<0,010;<0,003;<0,005;<0,002;<0,002;<0,005;<0,003;0.011;;;0.099;<0.001;0.025;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;;<1,0;<0,05;5.30;,,,,,,,,,
PUD-FA-036;SNGM-PUD-0075;FA-217;;;604797;5351662;14;Noria;Noria;Waldemar Borquez;31-01-18;3:09:01;5.79;81;1.20;13.18;286.33;163.5;0.1635;2.7632;368.5;0.3685;6.2277;6.4849;Se encuentra con tapa, Se utiliza únicamente para los baños,;2018-024;5.87;79;;0.0;35;;<0,03;6.7;2.9;3.4;1.2;<0,02;3.2;3.9;<3,0;29;;28;28;<1,0;39;41;0.155;<0,010;<0,005;<0,005;<0,002;<0,060;<0,002;<0,002;<0,010;<0,001;<0,003;<0,050;1.462;0.151;<0,005;<0,002;<0,002;<0,005;0.004;0.015;;;0.087;0.001;0.032;0.002;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;;<1,0;<0,05;15.00;,,,,,,,,,,,,,
PUD-FA-037;SNGM-PUD-0088;FA-218;88;;605293;5351666;8;Cuerpo de agua superficial;Río;;31-01-18;4:03:08;7.17;714;7.15;18.85;292.00;205.5;0.2055;3.4730;410.5;0.4105;6.9375;7.0837;Río Negro en puente mecano, Abundante caudal;2018-024;6.86;680;;0.0;39;;<0,03;9.0;14;106;4.5;<0,02;24;178;<3,0;32;;81;32;49;355;375;0.087;<0,010;<0,005;<0,005;<0,002;<0,060;<0,002;<0,002;<0,010;<0,001;<0,003;<0,050;0.386;0.009;<0,005;<0,002;<0,002;<0,005;<0,003;<0,010;;;0.597;0.002;0.093;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;;<1,0;<0,05;6.20;,,,,,,,,,,,,,
PUD-FA-038;SNGM-PUD-0089;FA-219;89;;605936;5353981;14;Cuerpo de agua superficial;Río;;31-01-18;4:46:01;7.29;10960;8.57;18.83;291.98;205.8;0.2058;3.4780;410.8;0.4108;6.9425;7.0894;Puente Cortado, Agua sabor salada,;2018-024;6.88;4000;;0.0;38;;<0,03;29;86;610;22;<0,02;163;1220;<3,0;31;;426;31;395;2150;2270;0.06;<0,010;<0,005;0.006;<0,002;0.221;<0,002;<0,002;<0,010;<0,001;<0,003;<0,050;0.288;0.022;<0,005;<0,002;<0,002;<0,005;<0,003;0.01;;;3.786;0.006;0.452;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;;<1,0;<0,05;6.20;,,,,,,,,,,,,,,,
PUD-FA-039;SNGM-PUD-0090;FA-220;90;;608149;5353553;24;Cuerpo de agua superficial;Río;Río Llanco;31-01-18;5:35:25;7.33;76;8.24;12.58;285.73;206.7;0.2067;3.4932;411.7;0.4117;6.9577;7.2603;Puente La Unión;2018-024;6.89;80;;0.0;35;;<0,03;4.8;2.9;5.2;0.80;<0,02;<1,0;6.9;<3,0;29;;24;24;<1,0;39;41;0.057;<0,010;<0,005;<0,005;<0,002;<0,060;<0,002;<0,002;<0,010;<0,001;<0,003;<0,050;0.3;0.007;<0,005;<0,002;<0,002;<0,005;0.004;<0,010;;;0.328;<0.001;0.030;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;;<1,0;<0,05;7.00;,,,,,,,,,,,,,
PUD-FA-040;SNGM-PUD-0091;FA-221;91;;609894;5355270;33;Cuerpo de agua superficial;Río;;01-02-18;10:14:26;7.01;66;9.30;12.27;285.42;117.8;0.1178;1.9908;322.8;0.3228;5.4553;5.6988;Puente Wolf, Se observan vacas que beben del río aguas arriba, Presencia de alto contenido de óxido de Fe en laderas del río,;2018-024;6.69;67;;0.0;29;;<0,03;4.0;2.2;5.0;0.40;<0,02;<1,0;6.1;<3,0;24;;19;19;<1,0;33;35;0.054;<0,010;<0,005;<0,005;<0,002;<0,060;<0,002;<0,002;<0,010;<0,001;<0,003;<0,050;0.442;0.017;<0,005;<0,002;<0,002;<0,005;<0,003;0.013;;;0.224;<0.001;0.027;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;;<1,0;<0,05;7.90;,,,,,,,,,,
PUD-FA-041;SNGM-PUD-0092;FA-222;92;;608800;5357517;17;Cuerpo de agua superficial;Río;;01-02-18;10:48:07;7.31;113;9.11;11.82;284.97;173.1;0.1731;2.9254;378.1;0.3781;6.3899;6.6856;Puente Huillinco, Prescencia de algas en rocas del lecho,;2018-024;7.07;114;;0.0;59;;<0,03;8.0;4.9;6.4;0.80;<0,02;<1,0;6.0;<3,0;48;;40;40;<1,0;56;59;0.066;<0,010;<0,005;<0,005;<0,002;<0,060;<0,002;<0,002;<0,010;<0,001;<0,003;<0,050;0.193;0.006;<0,005;<0,002;<0,002;<0,005;0.008;<0,010;;;0.157;<0.001;0.049;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;;8.6;<0,05;5.30;,,,,,,,,,,,,
PUD-FA-042;SNGM-PUD-0093;FA-223;93;;607958;5360964;13;Cuerpo de agua superficial;Río;;01-02-18;11:17:03;7.20;106;8.03;12.62;285.77;164.5;0.1645;2.7801;369.5;0.3695;6.2446;6.5152;Puente Quempillén, Abundante contenido de óxido de Fe en laderas del río;2018-024;6.93;107;;0.0;49;;0.06;7.0;4.2;7.3;1.2;<0,02;<1,0;8.2;<3,0;40;;35;35;<1,0;53;56;0.093;<0,010;<0,005;<0,005;<0,002;<0,060;<0,002;<0,002;<0,010;<0,001;<0,003;<0,050;0.481;0.015;<0,005;<0,002;<0,002;<0,005;<0,003;<0,010;;;0.148;0.001;0.037;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;;<1,0;<0,05;7.00;,,,,,,,,,,,,
PUD-FA-043;SNGM-PUD-0094;FA-224;94;;611771;5362649;29;Cuerpo de agua superficial;Río;;01-02-18;12:30:37;7.24;130;8.25;16.32;289.47;218.9;0.2189;3.6994;423.9;0.4239;7.1639;7.3789;Río Huicha;2018-024;7.22;129;;0.0;68;;0.05;10.0;5.1;7.1;1.8;<0,02;1.0;6.7;<3,0;56;;46;46;<1,0;65;69;0.1;<0,010;<0,005;<0,005;<0,002;<0,060;<0,002;<0,002;<0,010;<0,001;<0,003;<0,050;0.146;0.031;<0,005;<0,002;<0,002;<0,005;0.009;<0,010;;;0.111;<0.001;0.048;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;<0.001;;26.7;<0,05;6.20;,,,,,,,,,,,,,,,,
