,Cod_Muestra,Fecha,Tipo,UTM_Este,UTM_Norte,SO4,NO3,Ca,Mg,K,Na,CO3,HCO3,Cl,Fe,Cu,pH,mSO4,O18,Deuterio,TDS mg/l,EC,Salinidad,rCa,rMg,rK,rNa,rCl,rSO4,rCO3,rHCO3,rNO3,Suma Aniones [meq/l],Suma Cationes [meq/l],Balance %,O2,Li,F,Al,Sb,As,Ba,Be,B,Cd,Co,Cr,Sn,P,Mn,Hg,Mo,Ni,Ag,Pb,Se,V,Zn,Si,eH,Do,T
196,CPO-RT-042,09-10-2009 0:00,Pozo,404000,6889753,153,4.6,92.5,15,1.36,35,0,245,13,0.506,0.005,7.2,1.592754528,-11.62,-85.6,435.84,677,Dulce moderadamente mineralizada,4.615998802,1.234313927,0.034784121,1.522414288,0.366685753,3.185389679,0,4.015267851,0.074187685,7.641530969,7.407511139,-1.555048012,5.31,0.04,0.42,0.01,0.005,0.0025,0.027,0.001,0.03,0.001,0.001,0.0005,0.0015,0.025,0.0015,,0.006,0.0025,0.001,0.001,0.0025,0.0015,0.005,,,,
197,CPO-YP-036,06-12-2008 0:00,Pozo,398224,6912831,348,14.15,135,31.25,2.6,88.75,0,222,48,0.683,0.005,7.32,3.62273579,-11.31,-80.8,777.31,1071,Dulce mineralizada,6.736863117,2.571487348,0.066499055,3.860407659,1.353916627,7.245200055,0,3.638324339,0.228207771,12.46564879,13.23525718,2.994479607,5.95,0.21,0.62,0.01,0.005,0.0025,0.017,0.001,0.71,0.001,0.001,0.0005,0.0015,0.025,0.0015,0.00015,0.007,0.0025,0.001,0.003,0.0025,0.004,0.069,,,,
198,CPO-RC-027,10-12-2008 0:00,Pozo,382481,6932015,465,15.7,165,45.5,4,91.25,0,282,75,0.794,0.005,7.38,4.840724547,-10.88,-86.4,1001.49,1364,Salobre,8.23394381,3.744085579,0.102306238,3.969151537,2.11549473,9.68108628,0,4.621655241,0.253205795,16.67144205,16.04948716,-1.900786124,7.4,0.24,0.63,0.01,0.005,0.0025,0.015,0.001,0.87,0.001,0.001,0.001,0.0015,0.025,0.0015,0.00015,0.0025,0.0025,0.001,0.014,0.0025,0.004,0.005,,,,
199,CPO-RC-062,14-05-2009 0:00,Pozo,400820,6905912,291,1.5,118,26,2.64,63,0,208,34,0.552,0.005,7.42,3.029356652,,,639.42,941,Dulce mineralizada,5.888517391,2.139477474,0.067522117,2.740345719,0.959024277,6.058486253,0,3.408880461,0.024191636,10.45058263,10.8358627,1.809978447,3.84,0.16,0.76,0.01,0.005,0.0025,0.018,0.001,0.03,0.001,0.001,0.0005,0.0015,0.025,0.0015,0.00015,0.006,0.0025,0.001,0.001,0.0025,0.003,0.005,,,,
200,CPO-RT-072,07-06-2010 0:00,Pozo,378174,6943864,673,42.8,270,73,6,110,0,201,310,1.6,0.005,7.27,7.006037893,,,1585,2300,Salobre,13.47372623,6.006994446,0.153459358,4.78473062,8.744044882,14.01155068,0,3.294158523,0.690268027,26.74002211,24.41891066,-4.537059964,7.59,0.4,0.43,0.01,0.005,0.0025,0.022,0.001,0.86,0.001,0.001,0.002,0.0015,0.025,0.009,0.0006,0.0025,,0.001,0.001,0.014,0.0015,0.005,,,,
201,CPO-YP-048,10-12-2008 0:00,Pozo,378174,6943864,637,46.8,277.5,72.25,5.3,137.5,0,226,258,1.308,0.005,7.11,6.631272122,-10.33,-78.9,1546.7,2160,Salobre,13.84799641,5.945278749,0.135555766,5.980913275,7.27730187,13.26204723,0,3.703879732,0.754779058,24.99800789,25.9097442,1.790957708,6.98,0.35,0.6,0.01,0.005,0.0025,0.02,0.001,1.15,0.001,0.001,0.002,0.0015,0.025,0.0015,0.00015,0.0025,0.0025,0.001,0.003,0.012,0.004,0.017,,,,
202,CPO-PF-064,12-06-2008 0:00,Pozo,403955,6902087,223,11.95,120,21.75,2,36.5,0,212,35,0.392,0.005,7.39,2.321465751,,,555.5,805,Dulce mineralizada,5.988322771,1.789755194,0.051153119,1.587660615,0.987230874,4.642757506,0,3.474435855,0.192726704,9.297150939,9.416891699,0.639844432,7.58,0.1,0.48,0.01,0.005,0.0025,0.021,0.001,0.32,0.001,0.001,0.001,0.0015,0.025,0.0015,0.00015,0.007,0.0025,0.001,0.003,0.0025,0.004,0.032,,,,
203,CPO-PF-058,10-06-2008 0:00,Pozo,406483,6895336,236,28.5,127.5,22.25,2.5,31,0,222,23,0.413,0.005,7.45,2.456797835,,,581.03,848,Dulce mineralizada,6.362592944,1.830898992,0.063941399,1.348424084,0.648751717,4.913411532,0,3.638324339,0.459641093,9.66012868,9.605857418,-0.281694699,7.88,0.1,0.52,0.01,0.005,0.0025,0.026,0.001,0.27,0.001,0.001,0.001,0.0015,0.025,0.0015,0.00015,0.008,0.0025,0.001,0.001,0.0025,0.004,0.012,,,,
204,CPO-RT-074,07-06-2010 0:00,Pozo,378799,6937759,593,37.5,230,62,5,115,0,237,205,0.99,0.005,7.33,6.173225068,,,1365,1886,Salobre,11.47761864,5.101830899,0.127882798,5.002218375,5.782352261,12.34598745,0,3.884157064,0.604790912,22.61728769,21.70955072,-2.047827013,6.63,0.4,0.46,0.01,0.005,0.0025,0.018,0.001,0.85,0.001,0.001,0.001,0.0015,0.025,0.0015,0.0008,0.0025,,0.001,0.001,0.014,0.003,0.005,,,,
205,CPO-YP-045,09-12-2008 0:00,Pozo,378799,6937759,547,37.2,247.5,56.25,4.7,127.5,0,261,201,1.113,0.005,7.34,5.694357693,-10.64,-79.5,1350.28,1859,Salobre,12.35091571,4.628677227,0.12020983,5.545937764,5.669525875,11.38828859,0,4.277489425,0.599952584,21.93525648,22.64574054,1.593692617,8,0.32,0.62,0.01,0.005,0.0025,0.018,0.001,1.12,0.001,0.001,0.001,0.0015,0.025,0.0015,0.00015,0.0025,0.0025,0.001,0.003,0.014,0.004,0.005,,,,
