,Cod_Muestra,Fecha,Tipo,UTM_Este,UTM_Norte,SO4,NO3,Ca,Mg,K,Na,CO3,HCO3,Cl,Fe,Cu,pH,mSO4,O18,Deuterio,TDS mg/l,EC,Salinidad,rCa,rMg,rK,rNa,rCl,rSO4,rCO3,rHCO3,rNO3,Suma Aniones [meq/l],Suma Cationes [meq/l],Balance %,O2,Li,F,Al,Sb,As,Ba,Be,B,Cd,Co,Cr,Sn,P,Mn,Hg,Mo,Ni,Ag,Pb,Se,V,Zn,Si,eH,Do,T
236,XTERRAE A-3,22-10-2015 0:00,IM60,373815,6962167,2066.83,0.39,743,113,12.01,593.3,0,153.2031153,744.7,0.015,0.07,7.27,21.51603165,-7.74,-63.6,4004,3730,Salobre,37.07769849,9.298498251,0.307174481,25.80709706,21.00545234,43.03045066,0,2.510822627,0.006289825,66.55301545,72.49046828,4.270212939,,,,0.272,,0.1,,,,0.005,,0.005,,,2.475,,0.015,0.025,0.005,0.025,0.1,,0.0025,,,,
237,XTERRAE A-4,22-10-2015 0:00,IM40,373750,6962079,1675.73,2.17,946.4,0.98,3.225,947.1,0,9.140997332,1987.6,0.015,0.005,8.55,17.44461795,-6.69,-57.6,7402,6560,Salada,47.22790558,0.080641843,0.082484405,41.19653064,56.06343099,34.88792841,0,0.149810419,0.034997234,91.13616706,88.58756247,-1.418067943,,,,0.005,,0.1,,,,0.005,,0.005,,,0.046,,0.038,0.025,0.005,0.025,0.1,,0.0025,,,,
238,XTERRAE A-6,22-10-2015 0:00,Pozo,374633,6960813,654,2.5,171.7,52.39,3.945,102.8,0,241.4442095,115.04,0.015,0.159,7.1,6.808244847,-10.2,-77.6,1224,1190,Salobre,8.568291831,4.31104711,0.100899528,4.471548252,3.244886849,13.61597941,0,3.95699254,0.040319394,20.8581782,17.45178672,-8.891659087,,,,0.005,,0.1,,,,0.005,,0.005,,,0.006,,0.015,0.025,0.005,0.025,0.1,,0.0025,,,,
239,VAI 1,01-08-2018 0:00,IM200,374440,6962016,729,13.5,305.8,73.3,7.5,174,0,243.150772,200.87,0.001,0.1,7.31,7.589006871,,,1668,2094,Salobre,15.26024253,6.031680724,0.191824197,7.568573889,5.665859018,15.17744494,0,3.984961134,0.217724728,25.04598982,29.05232134,7.405649879,,,,0.27,,0.019,,,,,,,,,0.09,,0.0035,0.00015,,,,,1.82,,,,
240,VAI 2,01-08-2018 0:00,IM300,374376,6961952,1052,72.2,466.6,113.2,9.6,236.8,0,197.0800994,392.6,0.001,0.12,7.09,10.95148865,,,2632,3022,Salobre,23.28459504,9.31495577,0.245534972,10.3002201,11.07390974,21.90215649,0,3.229915866,1.164424102,37.3704062,43.14530588,7.172388506,,,,0.2,,0.023,,,,,,,,,0.069,,0.006,0.00015,,,,,0.00025,,,,
241,VAI 3,01-08-2018 0:00,IM170,374469,6962546,886,4.74,406.2,38.8,7.6,306.1,0,181.7232085,218.3,0.001,0.0037,7.18,9.22340204,,,1924,2288,Salobre,20.27047258,3.192758692,0.194381853,13.31460039,6.157499993,18.44611278,0,2.97823411,0.076445571,27.65829246,36.97221351,14.41102915,,,,0.41,,0.025,,,,,,,,,0.073,,0.0049,0.00015,,,,,0.00025,,,,
242,VAI 5,01-08-2018 0:00,IM256,374533,6962908,498,2.55,197.1,40.7,6.1,136.9,0,189.401654,85.9,0.001,0.0013,7.46,5.184259838,,,1076,1377,Salobre,9.835820151,3.349105122,0.156017014,5.954814744,2.42294663,10.36813111,0,3.104074989,0.041125782,15.93627851,19.29575703,9.535294979,,,,0.17,,0.018,,,,,,,,,0.048,,0.0026,0.00015,,,,,0.00025,,,,
243,SOC-FF-05,27-08-2022 0:00,IM80,373665,6962133,,,,,,,0,,,,,6.91,,,,1653.6862,3316,Salobre,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,SOC-FF-06,01-09-2022 0:00,CANDELARIA,372534,6955776,2189.3,82.1,775,50,85,1040,0,47,1447,0.05,0.1,7.45,22.79096398,-2.95,-34.44,5692,8144,Salada,38.67458456,4.114379757,2.174007566,45.23745313,40.81494498,45.58021977,0,0.770275873,1.324088903,88.48952953,90.20042501,0.957465957,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,
245,SOC-FF-07,01-09-2022 0:00,CANDELARIA,372558,6955153,,,,,,,0,,,,,7.8,,,,4156.6438,8464,Salobre,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,SOC-FF-08,01-09-2022 0:00,CANDELARIA,372199,6956927,2150.4,31.1,435,50,45,1030,0,58,904,0.05,0.02,7.64,22.38600874,-3.39,-34.2,4675,6228,Salobre,21.70767004,4.114379757,1.150945182,44.80247762,25.49876314,44.77033965,0,0.950553206,0.501573263,71.72122926,71.7754726,0.037801108,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,
247,SOC-FF-09,01-09-2022 0:00,CANDELARIA,368795,6954138,2269.6,35.2,775,10,190,815,4.9,11,1082.9,0.05,0.04,9.11,23.62689985,-0.76,-15.3,5189,6739,Salada,38.67458456,0.822875951,4.859546323,35.45050414,30.54492324,47.25202886,0.163308293,0.180277332,0.567697069,78.70823479,79.80751097,0.693480747,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,
248,SOC-FF-10,01-09-2022 0:00,IM80,373665,6962133,2021.905,51.603,680,122.5,13,212.5,0,63.51,299.93,0.4,8.3,6.18,21.04835519,-9.87,-76.1,3433,3851,Salobre,33.93382903,10.08023041,0.332495275,9.243229606,8.460004457,42.09513281,0,1.04085576,0.832240678,52.4282337,53.58978432,1.095616235,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,
249,SOC-FF-11,01-09-2022 0:00,IM200,373853,6961653,820.105,18.616,302.5,70,9.6,157.5,0,208.57,199.425,0.4,0.25,7.79,8.537424526,-10.19,-78.2,1681,2305,Salobre,15.09556365,5.76013166,0.245534972,6.850864296,5.625100486,17.07420917,0,3.418222105,0.300234336,26.4177661,27.95209458,2.822020258,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,
250,SOC-FF-12,01-09-2022 0:00,IM256,374115,6962095,,,,,,,0,,,,,7.81,,,,1078.5116,2133,Salobre,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,SOC-FF-13,01-09-2022 0:00,IM270 G4,374260,6961641,766.88,14.234,287.5,70,6.9,147.5,0,227.25,185.175,0.4,0.12,7.66,7.983343743,-10.28,-80,1590,2158,Salobre,14.3470233,5.76013166,0.176478261,6.415888785,5.223156487,15.96608913,0,3.724365793,0.229562502,25.14317391,26.69952201,3.002058571,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,
