,Unnamed: 0,Nombre,Fecha,Hora,Este,Norte,Nombre largo,Ca,Mg,Na,K,SO4,Cl,NO3,HCO3,CO3,Fe,Al,Cu,Ag,As,Cd,Cr,Mn,Mo,Ni,Pb,Se,Zn,Si,pH,eH,ORP,Do,ppmDO,Conductividad eléctrica uS/cm,Tipo,Solidos Disueltos Totales TDS,T,O18,Deuterio,Exceso Deuterio
19,19,VAI 5,01-08-2018,,374533,6962908,Nivel 256 Viviana,197.1,40.7,136.9,6.1,498.0,85.9,2.55,189.401654,0.0,0.001,0.17,0.0013,,0.018,,,0.048,0.0026,0.00015,,,0.00025,,7.46,,,,,1377,IM256,1076.0,21.98,,,
20,20,SOC-FF-05,27-08-2022,,373665,6962133,Rampa principal altura nivel 80 sector R2 directamente en agua embalsada,,,,,,,,,,,,,,,,,,,,,,,,6.91,,114.9,,,3316,IM80,,22.66,,,
21,21,SOC-FF-06,01-09-2022,,372534,6955776,Fondo de rajo Candelaria,775.0,50.0,1040.0,85.0,2189.3,1447.0,82.1,47.0,0.0,0.05,0.05,0.1,,,,,,,,,,,,7.45,,85.6,,2.04,8144,CANDELARIA,5692.0,18.9,-2.95,-34.44,-10.84
22,22,SOC-FF-07,01-09-2022,,372558,6955153,"Afloramiento de agua en cara sur rajo Candelaria, Banco 80",,,,,,,,,,,,,,,,,,,,,,,,7.8,,83.5,,4.25,8464,CANDELARIA,,24.95,,,
23,23,SOC-FF-08,01-09-2022,,372199,6956927,Drenes perimetrales sector Falla LAR ,435.0,50.0,1030.0,45.0,2150.4,904.0,31.1,58.0,0.0,0.05,0.05,0.02,,,,,,,,,,,,7.64,,80.6,,3.33,6228,CANDELARIA,4675.0,22.54,-3.39,-34.2,-7.08
24,24,SOC-FF-09,01-09-2022,,368795,6954138,Depósito de Relaves en sector balsas,775.0,10.0,815.0,190.0,2269.6,1082.9,35.2,11.0,4.9,0.05,0.05,0.04,,,,,,,,,,,,9.11,,81.5,,3.49,6739,CANDELARIA,5189.0,21.06,-0.76,-15.3,-9.22
25,25,SOC-FF-10,01-09-2022,,373665,6962133,Agua Embalsada Fondo de mina nivel 80,680.0,122.5,212.5,13.0,2021.905,299.93,51.603,63.51,0.0,0.4,0.05,8.3,,,,,,,,,,,,6.18,,140.3,,0.31,3851,IM80,3433.0,23.23,-9.87,-76.1,2.86
26,26,SOC-FF-11,01-09-2022,,373853,6961653,Mangueras de desagüe de Gabys nivel 200,302.5,70.0,157.5,9.6,820.105,199.425,18.616,208.57,0.0,0.4,0.05,0.25,,,,,,,,,,,,7.79,,73.7,,4.25,2305,IM200,1681.0,21.34,-10.19,-78.2,3.32
27,27,SOC-FF-12,01-09-2022,,374115,6962095,Goteos del techo (lluvia) sector Viviana,,,,,,,,,,,,,,,,,,,,,,,,7.81,,68.7,,3.71,2133,IM256,,20.55,,,
28,28,SOC-FF-13,01-09-2022,,374260,6961641,Gaby 4 en nivel 270 en galería de producción directo del flujo superficial,287.5,70.0,147.5,6.9,766.88,185.175,14.234,227.25,0.0,0.4,0.05,0.12,,,,,,,,,,,,7.66,,78.2,,5.96,2158,IM270 G4,1590.0,20.61,-10.28,-80.0,2.24
