Nombre,CÓDIGO SNGM BBDD,Fecha,pH,SALINIDAD,Deuterio,O18,O2,Ca,Mg,Na,K,Li,CO3,HCO3,ION H+,SO4,Cl,NO3,F,Al,Sb,As,Ba,Be,B,Cd,Co,Cu,Cr,Sn,P,Fe,Mn,Hg,Mo,Ni,Ag,Pb,Se,V,Zn,Dureza T,Dureza Carb,Dureza No Carb,TDS 103,COTA,Este,Norte,Nombre largo,Conductividad eléctrica uS/cm,Tipo,Solidos Disueltos Totales TDS,Ferrico,Ferroso,T,ORP,Fuente,Unnamed: 0,Hora,Ab,Va,Br   ,Rb   ,Sr   ,Cs   ,Hf   ,Ta   ,Th   ,U    ,  Ga  ,  Ge  ,Tl   ,Si,eH,Do,ppmDO,Exceso Deuterio
CPO-RT-058,SNGM-CPO-276,08-12-2009,7.03, ,-78.9,-10.22, ,358.0,92.5,200.0,7.0,0.38,0,339.0,,974.0,248.0,73.79,0.41,0.01,0.005,0.0025,0.019,0.001,1.74,0.001,0.001,0.005,0.001,0.0015,0.025,1.393,0.0015,,0.0025,,0.001,0.001,0.006,0.004,0.005,1272.0,277.7,994.7,2239.0,284.0,356063.0,6979711.0,Fundo Toledo - Agrícola Toledo,2830,Pozo,2120.0,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-RT-062,SNGM-CPO-276,02-06-2010,7.02,1.4,,,8.21,360.0,103.0,155.0,7.4,0.4,0,346.0,,1010.0,271.0,76.2,0.53,0.01,0.005,0.0025,0.019,0.001,1.36,0.001,0.001,0.005,0.0005,0.0015,0.025,1.9,0.0015,0.0012,0.0025,,0.001,0.001,0.007,0.003,0.005,1322.0,284.0,1038.0,2274.0,284.0,356063.0,6979711.0,Fundo Toledo - Agrícola Toledo,2910,Pozo,2154.0,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-CE-012,SNGM-CPO-279,26-08-2008,6.91,1.8,,,5.35,445.0,130.0,262.5,6.6,0.44,0,327.0,,1203.0,380.0,110.4,0.54,0.01,0.005,0.0025,0.028,0.001,2.29,0.001,0.001,0.005,0.002,0.0015,0.025,2.642,0.0015,0.00015,0.0025,0.0025,0.001,0.001,0.008,0.004,0.005,1644.99,265.23,1379.77,2848.52,295.0,357791.0,6979089.0,Vasangel; pozo n° 2,3400,Pozo,2697.46,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-RT-066,SNGM-CPO-279,04-06-2010,6.86,1.7,,,6.6,470.0,123.0,215.0,8.8,0.4,0,314.0,,1268.0,410.0,124.0,0.26,0.01,0.005,0.0025,0.028,0.001,1.1,0.001,0.001,0.005,0.001,0.0015,0.025,2.2,0.0015,0.0015,0.0025,,0.001,0.001,0.007,0.003,0.005,1679.0,257.0,1421.0,2929.0,295.0,357791.0,6979089.0,Vasangel; pozo n° 2,3570,Pozo,2774.0,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-CE-013,SNGM-CPO-281,27-08-2008,6.95,2.3,,,5.49,502.5,122.5,385.0,7.1,0.36,0,257.0,,1408.0,640.0,33.6,0.46,0.01,0.005,0.0025,0.024,0.001,4.04,0.001,0.001,0.005,0.003,0.0015,0.025,3.589,0.0015,0.00015,0.0025,0.0025,0.001,0.001,0.021,0.004,0.005,1757.61,210.48,1547.12,3407.2,342.0,364723.0,6975098.0,ACONEX; pozo no individualizado,4120,Pozo,3226.51,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-RT-067,SNGM-CPO-281,04-06-2010,6.98,2.4,,,6.57,570.0,130.0,380.0,9.6,0.2,0,249.0,,1504.0,824.0,39.2,0.31,0.01,0.005,0.0025,0.025,0.001,2.8,0.001,0.001,0.005,0.002,0.0015,0.025,3.0,0.022,0.001,0.0025,,0.001,0.001,0.021,0.0015,0.041,1957.0,204.0,1752.0,3780.0,342.0,364723.0,6975098.0,ACONEX; pozo no individualizado,4650,Pozo,3580.0,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-CE-016,SNGM-CPO-286,28-08-2008,6.97,1,,,5.26,255.0,77.5,165.0,5.0,0.32,0,319.0,,820.0,173.0,12.1,0.44,0.01,0.005,0.005,0.016,0.001,2.3,0.001,0.001,0.005,0.001,0.0015,0.025,2.544,0.0015,0.00015,0.0025,0.0025,0.001,0.001,0.0025,0.004,0.005,955.0,261.33,693.81,1757.95,332.0,362036.0,6976040.0,Valle Dorado; pozo n° 10,2060,Pozo,1664.72,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-CE-019,SNGM-CPO-293,29-08-2008,7.15,1.6,,,8.13,420.0,125.0,195.0,5.6,0.8,0,269.0,,1293.0,316.0,24.6,0.41,0.01,0.005,0.005,0.023,0.001,2.09,0.001,0.001,0.005,0.002,0.0015,0.025,3.392,0.0015,0.00015,0.0025,0.0025,0.001,0.001,0.01,0.004,0.042,1562.05,220.79,1341.27,2653.63,433.0,372652.0,6967370.0,Minera Candelaria - sector Paipote; pozo n° 15,3070,Pozo,2512.91,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-CE-020,SNGM-CPO-294,29-08-2008,7.39,1.5,,,7.09,347.5,105.0,187.5,5.4,0.38,0,253.0,,858.0,413.0,16.2,0.46,0.01,0.005,0.0025,0.025,0.001,1.99,0.001,0.001,0.005,0.002,0.0015,0.025,2.97,0.0015,0.00015,0.0025,0.0025,0.001,0.001,0.017,0.004,0.005,1298.9,207.66,1091.25,2172.69,507.0,374858.0,6958118.0,Minera Candelaria - Ojos del Salado; pozo n° 9,3000,Pozo,2057.48,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-ML-001,SNGM-CPO-296,01-09-2008,7.97,0.1,,,5.03,125.0,12.0,32.0,4.6,0.06,0,36.0,,374.0,11.0,16.0,0.44,0.01,0.005,0.173,0.01,0.001,0.16,0.001,0.001,0.005,0.0005,0.0015,0.025,1.075,0.0015,0.00015,0.0025,0.0025,0.001,0.001,0.0025,0.006,0.023,361.23,29.49,331.74,626.48,4229.0,477054.0,7038253.0,Compañía minera Mantos de Oro - Purén; pozo PU-3,768,Pozo,593.25,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-RT-034,SNGM-CPO-296,06-10-2009,7.95, ,-70.4,-7.6, ,95.5,10.1,38.5,5.2,0.06,0,35.0,,319.0,7.0,17.4,0.49,0.01,0.005,0.181,0.006,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.4124,0.0015,,0.0025,0.0025,0.001,0.001,0.0025,0.008,0.005,279.82,28.4,251.42,538.45,4229.0,477054.0,7038253.0,Compañía minera Mantos de Oro - Purén; pozo PU-3,703,Pozo,509.9,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-ML-002,SNGM-CPO-297,01-09-2008,7.94, ,,,3.95,46.5,8.0,13.5,3.6,0.04,0,82.0,,102.0,5.0,8.5,0.6,0.01,0.005,0.412,0.007,0.001,0.08,0.001,0.001,0.005,0.0005,0.0015,0.078,0.453,0.005,0.00015,0.0025,0.0025,0.001,0.002,0.0025,0.005,0.042,148.92,67.47,81.46,241.39,4268.0,477533.0,7039243.0,Compañía minera Mantos de Oro - Purén; pozo PU-1,338,Pozo,228.59,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-ML-032,SNGM-CPO-297,15-10-2008,7.35, ,-78.5,-9.1,5.46,50.0,7.55,11.5,4.3,0.04,0,83.0,,95.0,5.0,8.1,0.63,0.047,0.005,0.341,0.008,0.001,0.35,0.001,0.001,0.005,0.0005,0.0015,0.102,0.18,0.013,0.00015,0.0025,0.0025,0.001,0.003,0.0025,0.006,0.015,155.81,67.87,87.93,234.29,4268.0,477533.0,7039243.0,Compañía minera Mantos de Oro - Purén; pozo PU-1,363,Pozo,221.86,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-RT-033,SNGM-CPO-297,06-10-2009,7.65, ,-75.9,-9.07, ,49.0,7.4,16.5,4.1,0.04,0,73.0,,106.0,5.0,12.1,0.71,0.01,0.005,0.284,0.007,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.067,0.3098,0.0015,,0.0025,0.0025,0.001,0.003,0.0025,0.004,0.005,152.49,59.7,92.79,249.88,4268.0,477533.0,7039243.0,Compañía minera Mantos de Oro - Purén; pozo PU-1,361,Pozo,236.63,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-ML-004,SNGM-CPO-299,01-09-2008,7.47,0.9,,, ,340.0,51.25,90.0,5.2,0.38,0,91.0,,1025.0,48.0,9.5,0.74,0.01,0.005,0.007,0.006,0.001,0.79,0.001,0.001,0.005,0.0005,0.0015,0.025,2.16,0.0015,0.00015,0.0025,0.0025,0.001,0.001,0.0025,0.007,0.06,1059.1,74.54,984.0,1704.71,3300.0,465390.0,7027574.0,Compañía minera Mantos de Oro - sector quebrada; pozo MDO-175,2030,Pozo,1614.31,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-ML-005,SNGM-CPO-300,01-09-2008,7.93,0.9,,, ,267.5,35.0,157.5,4.2,0.24,0,138.0,,918.0,58.0,7.3,0.84,0.01,0.005,0.009,0.017,0.001,0.73,0.001,0.167,0.315,0.0005,0.0015,0.025,2.463,0.523,0.001,0.06,0.014,0.001,0.004,0.009,0.011,0.029,811.38,113.12,698.26,1600.44,3250.0,463652.0,7028354.0,Compañía minera Mantos de Oro - sector quebrada; pozo Can-Can 3,1793,Pozo,1515.57,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-ML-006,SNGM-CPO-301,01-09-2008,3.98,1.3,,, ,412.5,67.5,125.0,6.2,0.75,0,0.0,0.82,1477.0,111.0,21.5,1.85,17.7,0.005,0.0025,0.009,0.012,0.94,0.007,0.021,0.201,0.001,0.0015,0.197,3.372,15.8,0.00015,0.0025,0.049,0.001,0.001,0.0025,0.0015,12.4,1306.83,,1306.8,2346.96,3364.0,467497.0,7028106.0,Compañía minera Mantos de Oro - sector quebrada; pozo MDO-114,2620,Pozo,2222.5,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-RT-035,SNGM-CPO-301,06-10-2009,3.81, ,-55.8,-5.15, ,435.0,65.3,150.0,7.25,0.8,0,,0.82,1608.0,148.0,34.2,1.93,18.0,0.005,0.0025,0.009,0.014,0.84,0.008,0.031,0.195,0.0005,0.0015,0.194,2.098,16.88,,0.0025,0.0025,0.001,0.001,0.0025,0.0015,12.7,1353.7,,1353.72,2587.65,3364.0,467497.0,7028106.0,Compañía minera Mantos de Oro - sector quebrada; pozo MDO-114,2760,Pozo,2450.43,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-ML-007,SNGM-CPO-302,01-09-2008,3.92,1.7,,, ,437.5,67.5,132.5,5.5,0.65,0,0.0,0.58,1507.0,242.0,45.4,2.0,46.0,0.005,0.0025,0.01,0.016,1.33,0.007,0.32,0.205,0.001,0.0015,0.219,4.83,20.1,5.88,0.0025,0.043,0.001,0.001,0.0025,0.0015,12.8,1369.21,,1369.21,2577.12,3409.0,468433.0,7029208.0,Compañía minera Mantos de Oro - sector quebrada; pozo MDO-111,3230,Pozo,2440.46,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-ML-031,SNGM-CPO-302,15-10-2008,3.96,1.8,-57.6,-5.33,10.09,525.0,67.5,125.0,6.7,0.65,0,0.0,1.12,1820.0,352.0,82.37,2.09,53.0,0.005,0.006,0.011,0.027,1.48,0.007,0.253,0.136,0.002,0.0015,0.25,2.192,21.7,5.15,0.0025,0.053,0.001,0.001,0.008,0.0015,12.7,1587.52,,1587.52,3146.81,3409.0,468433.0,7029208.0,Compañía minera Mantos de Oro - sector quebrada; pozo MDO-111,3370,Pozo,2979.93,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-ML-008,SNGM-CPO-303,01-09-2008,3.52,1.5,,, ,412.5,55.0,130.0,4.6,0.82,0,0.0,0.83,1655.0,101.0,4.6,2.16,46.7,0.005,0.0025,0.0025,0.012,1.29,0.005,0.026,0.069,0.001,0.0015,0.025,2.078,18.5,0.002,0.0025,0.036,0.001,0.001,0.0025,0.0015,9.3,1255.42,,1255.42,2498.16,3580.0,473231.0,7031345.0,Compañía minera Mantos de Oro - sector quebrada; pozo MDO-041,2720,Pozo,2365.68,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-RC-003,SNGM-CPO-311,29-08-2008,7.5,0.6,,,2.09,165.0,49.0,120.0,4.7,0.27,0,267.0,,525.0,99.0,12.92,0.49,0.01,0.005,0.0025,0.013,0.001,1.13,0.001,0.001,0.005,0.001,0.0015,0.025,0.612,0.0015,0.00015,0.0025,0.0025,0.001,0.001,0.0025,0.004,0.02,613.22,218.67,394.56,1169.28,439.0,374284.0,6966058.0,Enami; pozo P2A,1499,Pozo,1107.27,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-RC-004,SNGM-CPO-312,29-08-2008,7.28,1.1,,,2.36,285.0,77.5,170.0,5.8,0.35,0,256.0,,907.0,194.0,14.59,0.47,0.01,0.005,0.005,0.02,0.001,1.06,0.001,0.001,0.005,0.002,0.0015,0.025,0.92,0.0015,0.00015,0.0025,0.0025,0.001,0.001,0.01,0.004,0.005,1029.85,210.08,819.77,1879.77,520.0,375001.0,6954610.0,Parcela Santa Adela,2300,Pozo,1780.08,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-RT-006,SNGM-CPO-317,19-01-2009,7.38,0.6,-78.9,-10.86,5.37,185.0,55.0,152.2,4.6,0.28,0,272.0,,606.0,119.0,11.3,0.44,0.01,0.005,0.0025,0.015,0.001,2.12,0.001,0.001,0.005,0.001,0.0015,0.025,0.812,0.0015,0.00015,0.0025,0.0025,0.001,0.001,0.0025,0.004,0.005,687.8,223.27,464.53,1339.73,448.0,374573.0,6965583.0,Enami - pique La Florida; pozo P-24A,1611,Pozo,1268.68,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-RT-040,SNGM-CPO-317,08-10-2009,7.34,0.7,-82.1,-10.49,5.05,200.0,56.3,155.0,4.8,0.3,0,248.0,,606.0,139.0,16.6,0.43,0.01,0.005,0.005,0.017,0.001,0.9,0.001,0.001,0.005,0.001,0.0015,0.025,0.971,0.0015,,0.0025,0.0025,0.001,0.001,0.0025,0.004,0.005,730.37,203.1,527.27,1373.1,448.0,374573.0,6965583.0,Enami - pique La Florida; pozo P-24A,1755,Pozo,1300.28,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-RC-016,SNGM-CPO-325,11-10-2008,7.37,1.5,-57.4,-6.5,7.71,342.5,70.0,295.0,6.5,0.08,0,93.0,,1349.0,264.0,12.06,0.55,0.01,0.005,0.0025,0.015,0.001,1.6,0.001,0.001,0.005,0.0005,0.0015,0.025,1.115,0.015,0.00015,0.022,0.0025,0.001,0.001,0.007,0.006,0.26,1142.46,76.36,1066.11,2518.56,549.0,379085.0,6973508.0,Inacesa - Paipote; pozo Inacesa,2880,Pozo,2385.0,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-RT-030,SNGM-CPO-325,03-10-2009,7.25, ,-59.6,-6.41,6.31,370.0,63.0,355.0,5.75,0.1,0,93.0,,1306.0,277.0,13.6,0.61,0.01,0.005,0.007,0.015,0.001,2.12,0.001,0.001,0.005,0.001,0.0015,0.025,1.412,0.012,,0.021,0.0025,0.001,0.001,0.008,0.007,0.036,1182.28,76.0,1106.28,2573.13,549.0,379085.0,6973508.0,Inacesa - Paipote; pozo Inacesa,2970,Pozo,2436.68,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-ML-013,SNGM-CPO-329,11-10-2008,8.13,0.7,-59.1,-7.14,3.45,305.0,0.395,117.5,1.3,0.04,0,17.0,,913.0,58.0,3.76,1.1,0.01,0.005,0.0025,0.008,0.001,0.31,0.001,0.001,0.005,0.0005,0.0015,0.025,1.006,0.0015,0.00015,0.016,0.0025,0.001,0.001,0.0025,0.0015,0.015,762.6,13.53,749.07,1487.51,1564.0,410732.0,7000674.0,Pozo Carrera Pinto,1825,Pozo,1408.63,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-ML-022,SNGM-CPO-334,14-10-2008,8.3, ,-83.7,-11.45,8.07,8.0,1.29,9.2,0.75,0.02,0,24.0,,13.0,3.0,12.59,0.11,0.133,0.005,0.009,0.012,0.001,0.03,0.001,0.001,0.005,0.003,0.0015,0.085,0.121,0.01,0.00015,0.0025,0.0025,0.001,0.008,0.0025,0.006,0.022,25.27,19.8,5.47,63.29,4447.0,473211.0,6950299.0,Mina Refugio,92,Pozo,59.93,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-ML-003,SNGM-CPO-335,01-09-2008,7.83,0.4,,, ,135.0,33.75,82.5,4.8,0.12,0,108.0,,528.0,23.0,9.1,0.51,0.01,0.005,0.0025,0.014,0.001,0.57,0.001,0.001,0.005,0.0005,0.0015,0.025,1.28,0.004,0.00015,0.0025,0.0025,0.001,0.001,0.0025,0.007,0.044,475.65,88.88,386.77,918.33,3360.0,467548.0,7026959.0,Compañía minera Mantos de Oro - sector quebrada; pozo MDO-177,1033,Pozo,869.63,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-ML-029,SNGM-CPO-335,15-10-2008,7.89,0.4,-60.2,-5.81,8.11,138.75,32.5,65.0,5.7,0.12,0,106.0,,481.0,41.0,8.72,0.52,0.01,0.005,0.006,0.014,0.001,1.18,0.001,0.001,0.005,0.0005,0.0015,0.025,0.579,0.005,0.00015,0.0025,0.0025,0.001,0.001,0.0025,0.007,0.018,479.86,87.26,392.6,871.81,3360.0,467548.0,7026959.0,Compañía minera Mantos de Oro - sector quebrada; pozo MDO-177,1095,Pozo,825.58,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-ML-030,SNGM-CPO-336,15-10-2008,7.16,0.8,-58.3,-5.52,5.71,302.5,57.5,90.0,6.5,0.34,0,83.0,,1079.0,31.0,8.36,0.65,0.01,0.005,0.007,0.01,0.001,1.15,0.001,0.001,0.005,0.0005,0.0015,0.025,1.244,0.011,0.00015,0.0025,0.006,0.001,0.001,0.0025,0.006,0.849,991.25,67.67,923.58,1706.52,3247.0,463682.0,7028446.0,Minera Can Can; pozo Can-can,1818,Pozo,1616.02,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-ML-038,SNGM-CPO-340,17-10-2008,6.93,1.9,-76.7,-9.77,8.42,462.5,112.5,287.5,7.9,0.37,0,269.0,,1304.0,494.0,26.94,0.46,0.034,0.005,0.008,0.021,0.001,5.04,0.001,0.001,0.005,0.005,0.0015,0.025,2.582,0.009,0.00015,0.0025,0.011,0.001,0.001,0.022,0.005,0.015,1616.68,220.18,1396.5,2986.72,326.0,363570.0,6976340.0,Manto Verde; pozo W-02,3660,Pozo,2828.34,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-ML-039,SNGM-CPO-341,17-10-2008,6.8,2.7,-78.4,-10.01,8.28,585.0,180.0,330.0,9.25,0.475,0,111.0,,1280.0,1100.0,82.63,0.64,0.035,0.005,0.009,0.031,0.001,5.48,0.001,0.003,0.005,0.012,0.0015,0.025,3.222,0.007,0.00015,0.0025,0.017,0.001,0.001,0.041,0.005,0.03,2199.96,91.1,2108.85,3824.56,311.0,361726.0,6979258.0,Manto Verde; pozo W-04,4940,Pozo,3621.74,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-ML-040,SNGM-CPO-342,17-10-2008,6.91,2.4,-76.2,-9.58,6.88,530.0,130.0,385.0,9.5,0.425,0,254.0,,1449.0,756.0,39.6,0.63,0.031,0.005,0.008,0.026,0.001,6.09,0.001,0.002,0.005,0.007,0.0015,0.025,3.472,0.004,0.00015,0.0025,0.012,0.001,0.001,0.032,0.005,0.011,1857.07,208.26,1648.81,3616.62,344.0,364839.0,6975662.0,Manto Verde; pozo E-02,4460,Pozo,3424.83,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-RC-060,SNGM-CPO-350,14-05-2009,7.23,0.1,,,4.02,85.0,14.0,55.0,1.66,0.02,0,232.0,,146.0,30.0,6.5,1.0,0.01,0.005,0.0025,0.024,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.42,0.0015,0.00015,0.005,0.0025,0.001,0.001,0.0025,0.0015,0.005,269.66,190.17,79.49,478.69,1288.0,403733.0,6891873.0,Fundo Isidro,639,Pozo,453.3,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-RC-024,SNGM-CPO-352,05-12-2008,7.4,0.3,-84.2,-11.33,4.77,130.0,28.75,60.0,3.2,0.14,0,244.0,,298.0,31.0,12.8,0.51,0.01,0.005,0.005,0.026,0.001,0.92,0.001,0.001,0.005,0.001,0.0015,0.025,0.749,0.0015,0.00015,0.006,0.0025,0.001,0.014,0.0025,0.003,0.019,442.61,200.17,242.44,722.77,1120.0,400614.0,6907334.0,"Fundo Pesenti, Parcela n° 1; pozo n° 1",1065,Pozo,684.44,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-RC-025,SNGM-CPO-353,06-12-2008,7.12,0.9,-85.6,-10.44,9.6,267.5,68.75,125.0,5.2,0.32,0,252.0,,723.0,189.0,34.366,0.63,0.01,0.005,0.007,0.019,0.001,1.53,0.001,0.001,0.005,0.002,0.0015,0.025,1.259,0.0015,0.00015,0.0025,0.0025,0.001,0.049,0.016,0.005,0.011,950.2,206.41,743.79,1624.34,766.0,382548.0,6933451.0,Fundo el Retamo 1; pozo Retamo 1,2060,Pozo,1538.2,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-RC-026,SNGM-CPO-357,09-12-2008,7.04,0.8,-85.6,-10.67,8.11,252.5,62.5,115.0,4.8,0.3,0,259.0,,551.0,235.0,43.4,0.62,0.01,0.005,0.007,0.018,0.001,1.28,0.001,0.001,0.005,0.002,0.0015,0.025,1.121,0.0015,0.00015,0.0025,0.0025,0.001,0.014,0.017,0.004,0.013,887.06,212.21,674.85,1470.15,720.0,379561.0,6936502.0,Fundo Villa María; pozo n° 1,1893,Pozo,1392.19,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-RT-073,SNGM-CPO-357,07-06-2010,7.15,0.8,,,5.81,230.0,62.0,120.0,5.2,0.4,0,242.0,,605.0,199.0,28.9,0.48,0.01,0.005,0.0025,0.019,0.001,0.88,0.001,0.001,0.005,0.001,0.0015,0.025,1.0,0.0015,0.0005,0.0025,,0.001,0.001,0.016,0.003,0.005,829.0,198.0,630.0,1446.0,720.0,379561.0,6936502.0,Fundo Villa María; pozo n° 1,1893,Pozo,1369.0,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-RC-028,SNGM-CPO-358,10-12-2008,7.01,0.8,-83.5,-10.75,6.38,225.0,58.75,127.5,4.8,0.31,0,261.0,,571.0,148.0,32.58,0.68,0.01,0.005,0.006,0.017,0.001,1.11,0.001,0.001,0.005,0.001,0.0015,0.025,1.014,0.0015,0.00015,0.0025,0.0025,0.001,0.014,0.007,0.004,0.005,803.03,212.18,588.85,1370.05,622.0,376965.0,6945852.0,Fundo Tropicana; pozo Tropicana,1798,Pozo,1297.4,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-RC-029,SNGM-CPO-359,10-12-2008,7.1,1,-80.8,-10.28,5.77,262.5,68.0,147.5,5.2,0.34,0,229.0,,675.0,274.0,39.102,0.6,0.01,0.005,0.005,0.02,0.001,1.09,0.001,0.001,0.005,0.002,0.0015,0.025,1.337,0.0015,0.00015,0.0025,0.0025,0.001,0.013,0.011,0.004,0.005,934.64,187.35,747.28,1673.37,632.0,376539.0,6945151.0,Fundo Colina; pozo n° 2,2200,Pozo,1584.63,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-RT-071,SNGM-CPO-359,07-06-2010,7.23,1.1,,,9.65,290.0,80.0,115.0,6.0,0.4,0,210.0,,739.0,319.0,49.5,0.42,0.01,0.005,0.0025,0.02,0.001,0.98,0.001,0.001,0.005,0.0005,0.0015,0.025,1.5,0.018,0.0014,0.0025,,0.001,0.001,0.012,0.0015,0.02,1053.0,172.0,880.0,1798.0,632.0,376539.0,6945151.0,Fundo Colina; pozo n° 2,2440,Pozo,1703.0,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-RC-033,SNGM-CPO-363,17-12-2008,7.29,1.1,-75.7,-9.27,5.11,315.0,80.0,157.5,6.1,0.36,0,294.0,,986.0,187.0,16.6,0.55,0.01,0.005,0.0025,0.018,0.001,1.83,0.001,0.001,0.005,0.002,0.0015,0.025,1.572,0.0015,0.00015,0.0025,0.0025,0.001,0.003,0.007,0.005,0.012,1114.98,240.79,874.19,1926.49,407.0,370192.0,6970146.0,Aguas Chañar; pozo Placilla n° 6,2400,Pozo,1893.84,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-YP-034,SNGM-CPO-367,05-12-2008,7.37,0.4,,,7.42,152.5,34.75,85.0,2.7,0.22,0,234.0,,385.0,63.0,17.2,0.68,0.01,0.005,0.0025,0.016,0.001,0.82,0.001,0.001,0.005,0.001,0.0015,0.025,0.669,0.0015,0.00015,0.0025,0.0025,0.001,0.005,0.006,0.004,0.024,523.42,192.17,331.25,904.64,920.0,390540.0,6920895.0,Fundo la Laguna; pozo n° 2,1188,Pozo,856.25,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-YP-035,SNGM-CPO-368,05-12-2008,7.43,0.3,-81.7,-11.26,6.41,140.0,30.75,77.5,2.6,0.2,0,243.0,,343.0,41.0,12.25,0.51,0.01,0.005,0.0025,0.022,0.001,0.66,0.001,0.001,0.005,0.0005,0.0015,0.025,0.674,0.0015,0.00015,0.007,0.0025,0.001,0.003,0.0025,0.004,0.018,475.78,199.07,276.71,810.2,1123.0,398822.0,6912179.0,Fundo Gollo Díaz 2; pozo Noria casona,1049,Pozo,767.24,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-YP-037,SNGM-CPO-369,06-12-2008,7.11,0.7,-79.2,-10.71,5.74,240.0,54.0,130.0,4.8,0.3,0,261.0,,642.0,134.0,27.15,0.59,0.01,0.005,0.005,0.017,0.001,1.09,0.001,0.001,0.005,0.001,0.0015,0.025,1.173,0.0015,0.00015,0.0025,0.0025,0.001,0.036,0.012,0.005,0.005,820.91,213.85,607.06,1437.84,777.0,382820.0,6932290.0,Agrícola Atacama - fundo Hornitos; pozo nº 2,1769,Pozo,1361.6,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
