Nombre,CÓDIGO SNGM BBDD,Fecha,pH,SALINIDAD,Deuterio,O18,O2,Ca,Mg,Na,K,Li,CO3,HCO3,ION H+,SO4,Cl,NO3,F,Al,Sb,As,Ba,Be,B,Cd,Co,Cu,Cr,Sn,P,Fe,Mn,Hg,Mo,Ni,Ag,Pb,Se,V,Zn,Dureza T,Dureza Carb,Dureza No Carb,TDS 103,COTA,Este,Norte,Nombre largo,Conductividad eléctrica uS/cm,Tipo,Solidos Disueltos Totales TDS,Ferrico,Ferroso,T,ORP,Fuente,Unnamed: 0,Hora,Ab,Va,Br   ,Rb   ,Sr   ,Cs   ,Hf   ,Ta   ,Th   ,U    ,  Ga  ,  Ge  ,Tl   ,Si,eH,Do,ppmDO,Exceso Deuterio
CPO-RT-037,SNGM-CPO-209,07-10-2009,7,0.5,-83.6,-11.04,3.93,173.0,38.5,115.0,3.6,0.24,0,252.0,,475.0,77.0,11.6,0.61,0.01,0.005,0.0025,0.019,0.001,0.82,0.001,0.001,0.005,0.0005,0.0015,0.025,0.7997,0.0015,,0.0025,0.0025,0.001,0.001,0.0025,0.004,0.01,588.75,206.2,382.55,1074.6,862.0,386971.0,6924971.0,Fundo Tres Soles; pozo Parrón Viejo,1351,Pozo,1017.61,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-YP-067,SNGM-CPO-209,20-05-2009,7.08,0.5,,,5.05,164.0,39.0,91.5,3.58,0.24,0,248.0,,457.0,62.0,12.426,0.84,0.01,0.005,0.0025,0.018,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.842,0.003,0.00015,0.0025,0.0025,0.001,0.001,0.0025,0.003,0.005,569.6,203.01,366.59,1005.27,862.0,386971.0,6924971.0,Fundo Tres Soles; pozo Parrón Viejo,1313,Pozo,951.96,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-YP-065,SNGM-CPO-213,19-05-2009,7.49,0.3,,,6.75,137.8,26.0,52.3,3.26,0.16,0,161.0,,368.0,40.0,1.5,0.71,0.01,0.005,0.0025,0.027,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.79,0.0015,0.00015,0.006,0.0025,0.001,0.001,0.0025,0.0015,0.013,450.63,131.79,318.84,747.09,1115.0,401565.0,6904998.0,Fundo el Canelo - Vizcachas; pozo n° 5,1016,Pozo,707.47,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-RT-079,SNGM-CPO-214,10-06-2010,7.26,0.7,,,4.36,210.0,50.0,90.0,3.8,0.2,0,176.0,,638.0,131.0,29.19,0.49,0.037,0.005,0.0025,0.019,0.001,0.61,0.001,0.001,0.005,0.001,0.0015,0.025,0.96,0.0015,0.0018,0.006,,0.001,0.001,0.011,0.0015,0.005,730.0,144.0,585.0,1308.0,1125.0,400663.0,6909648.0,Fundo Calquis; pozo n° 2 ,1961,Pozo,1239.0,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-YP-069,SNGM-CPO-214,19-05-2009,7.26,0.7,,,5.7,220.8,51.5,113.0,2.4,0.26,0,173.0,,634.0,133.0,35.546,0.7,0.01,0.005,0.0025,0.018,0.001,0.03,0.001,0.001,0.005,0.001,0.0015,0.025,1.247,0.0015,0.00015,0.006,0.0025,0.001,0.001,0.014,0.0015,0.005,762.6,142.02,620.58,1347.73,1125.0,400663.0,6909648.0,Fundo Calquis; pozo n° 2 ,1715,Pozo,1276.26,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-YP-063,SNGM-CPO-216,18-05-2009,7.48,0.3,,,5.35,100.0,28.3,74.5,2.38,0.22,0,196.0,,295.0,39.0,11.787,0.89,0.01,0.005,0.0025,0.016,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.608,0.0015,0.00015,0.007,0.0025,0.001,0.001,0.0025,0.004,0.022,365.7,160.78,204.92,683.85,1055.0,399687.0,6910778.0,"Fundo el Canelo; pozo n° 1, Canelo Bajo",934,Pozo,647.59,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-RT-045,SNGM-CPO-217,09-10-2009,7.39,0.8,-82.8,-10.66,4.74,280.0,57.0,125.0,3.6,0.28,0,167.0,,694.0,176.0,54.9,0.61,0.024,0.005,0.0025,0.023,0.001,0.73,0.001,0.001,0.005,0.001,0.0015,0.025,1.167,0.0015,,0.005,0.0025,0.001,0.001,0.018,0.003,0.005,933.05,136.5,796.55,1555.82,1077.0,400331.0,6910245.0,Fundo el Canelo; pozo n° 4,1940,Pozo,1473.31,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-RT-078,SNGM-CPO-217,10-06-2010,7.18,0.8,,,4.61,270.0,60.0,110.0,4.2,0.2,0,166.0,,735.0,180.0,48.0,0.49,0.03,0.005,0.0025,0.022,0.001,0.71,0.001,0.001,0.005,0.0005,0.0015,0.025,1.2,0.0015,0.002,0.0025,,0.001,0.001,0.018,0.0015,0.015,920.0,136.0,784.0,1572.0,1077.0,400331.0,6910245.0,Fundo el Canelo; pozo n° 4,1961,Pozo,1489.0,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-YP-066,SNGM-CPO-217,19-05-2009,7.47,0.8,,,7.5,243.3,54.5,90.0,3.56,0.28,0,169.0,,626.0,159.0,46.383,0.82,0.01,0.005,0.0025,0.02,0.001,0.03,0.001,0.001,0.005,0.001,0.0015,0.025,1.346,0.0015,0.00015,0.005,0.0025,0.001,0.001,0.015,0.0015,0.005,831.08,138.82,692.27,1379.62,1077.0,400331.0,6910245.0,Fundo el Canelo; pozo n° 4,1783,Pozo,1306.46,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-YP-061,SNGM-CPO-223,16-05-2009,7.42,0.3,,,1.08,87.3,36.3,94.8,3.12,0.22,0,74.0,,390.0,73.0,1.5,0.59,0.01,0.005,0.0025,0.011,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,2.894,0.638,0.00015,0.0025,0.0025,0.001,0.001,0.0025,0.0015,0.005,366.79,60.88,305.91,761.96,940.0,391194.0,6920518.0,APR Los Loros; pozo n° 2,1048,Pozo,721.55,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-YP-059,SNGM-CPO-226,15-05-2009,7.05,0.7,,,3.11,224.0,49.0,116.5,4.06,0.3,0,275.0,,598.0,105.0,33.182,0.76,0.01,0.005,0.0025,0.015,0.001,0.03,0.001,0.001,0.005,0.001,0.0015,0.025,1.257,0.009,0.00015,0.0025,0.0025,0.001,0.001,0.021,0.003,0.005,760.43,225.57,534.85,1336.76,943.0,391621.0,6920259.0,Fundo San Francisco; pozo n° 1,1737,Pozo,1265.87,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-RT-041,SNGM-CPO-231,09-10-2009,7.32,0.1,-89.7,-12.5,8.13,99.0,16.0,30.5,2.2,0.1,0,198.0,,204.0,13.0,3.3,0.67,0.01,0.005,0.0025,0.037,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.5515,0.0015,,0.011,0.0025,0.001,0.001,0.0025,0.0015,0.005,312.82,162.4,150.42,492.24,1647.0,415387.0,6884157.0,Agrícola Iglesia Colorada; pozo Peña Blanca,699,Pozo,466.14,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-YP-056,SNGM-CPO-231,13-05-2009,7.5,0.1,,,9.78,89.5,16.0,49.0,2.24,0.1,0,205.0,,194.0,13.0,1.5,0.78,0.01,0.005,0.0025,0.036,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.543,0.0015,0.00015,0.011,0.0025,0.001,0.001,0.0025,0.0015,0.005,289.11,168.0,121.11,491.54,1647.0,415387.0,6884157.0,Agrícola Iglesia Colorada; pozo Peña Blanca,697,Pozo,465.47,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-YP-055,SNGM-CPO-233,13-05-2009,7.55,0.2,,,7.75,99.0,20.5,46.0,2.22,0.1,0,187.0,,230.0,19.0,19.055,0.77,0.01,0.005,0.0025,0.024,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.51,0.0015,0.00015,0.01,0.0025,0.001,0.001,0.0025,0.003,0.005,331.33,151.15,180.17,556.54,1290.0,405895.0,6896747.0,Fundo La Junta; pozo Junta,763,Pozo,527.02,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-YP-054,SNGM-CPO-237,13-05-2009,7.23,0.6,,,6.8,143.5,38.0,132.5,4.26,0.42,0,246.0,,493.0,65.0,1.5,0.86,0.01,0.005,0.008,0.016,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.879,0.004,0.00015,0.005,0.0025,0.001,0.001,0.0025,0.005,0.005,514.34,201.8,312.53,1055.89,1208.0,405154.0,6897234.0,Fundo La Junta; pozo San Alfonso,1394,Pozo,999.89,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-PF-061,SNGM-CPO-247,11-06-2008,7.22,0.6,,,8.37,206.25,47.0,96.25,3.8,0.24,0,255.0,,471.0,122.0,17.4,0.54,0.01,0.005,0.0025,0.016,0.001,0.97,0.001,0.001,0.005,0.001,0.0015,0.025,0.604,0.0015,0.00015,0.0025,0.0025,0.001,0.001,0.012,0.004,0.01,707.92,208.87,499.87,1151.71,754.0,382231.0,6933597.0,Agrícola Millahue - fundo el Yeso,1560,Pozo,1090.64,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-PF-062,SNGM-CPO-248,11-06-2008,7.26,0.6,,,8.11,192.5,48.75,90.0,3.7,0.23,0,259.0,,468.0,97.0,15.2,0.55,0.01,0.005,0.0025,0.017,0.001,0.9,0.001,0.001,0.005,0.0005,0.0015,0.025,0.688,0.0015,0.00015,0.0025,0.0025,0.001,0.001,0.007,0.003,0.005,680.81,212.5,468.3,1101.6,760.0,382353.0,6932992.0,Agrícola Oasis; pozo n° 2,1489,Pozo,1043.18,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-PF-063,SNGM-CPO-251,12-06-2008,7.35,0.5,,,6.76,187.5,39.75,77.5,3.0,0.23,0,205.0,,453.0,84.0,30.3,0.62,0.01,0.005,0.0025,0.019,0.001,0.76,0.001,0.001,0.005,0.002,0.0015,0.025,0.612,0.0015,0.00015,0.006,0.0025,0.001,0.001,0.007,0.004,0.026,631.31,168.37,462.95,1031.22,963.0,393749.0,6917726.0,Fundo Palo Blanco; pozo n° 3 Santa Rosa,1342,Pozo,976.54,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
CPO-PF-073,SNGM-CPO-259,17-06-2008,7.01,2.3,,,5.27,470.0,170.0,480.0,8.1,0.51,0,411.0,,1953.0,336.0,8.8,0.33,0.01,0.005,0.0025,0.016,0.001,5.27,0.001,0.001,0.005,0.002,0.0015,0.025,1.549,0.0015,0.00015,0.0025,0.0025,0.001,0.001,0.031,0.004,0.012,1871.9,337.04,1534.86,3832.68,208.0,343924.0,6975789.0,Fundo San Pedro; pozo Sevilla n° 2,4360,Pozo,3629.43,,,,,"SERNAGEOMIN, 2018",,,,,,,,,,,,,,,,,,,,
