Cod,Tipo,Fecha,Al,Cu,Cr,F,Fe,Mn,Mg,Se,Zn,As,Cd,Hg,NO3,Pb,Cl,SO4,TDS,Marker,Color,Alpha,Size,Fuente
CCMO-1492 ,IM200,2022-08-11 00:00:00,0.031,0.247,0.0111,,0.638,0.184,66.07,0.007,0.011,0.005,0.003,6.5e-05,26.4,0.0065,249.3,885.3,1856.0,^,black,1.0,8.0,"CCMO, 2022"
CCMO-1509 ,IM270 G4,2022-08-11 00:00:00,0.257,0.049,0.0124,,0.075,0.05,61.05,0.007,0.011,0.005,0.003,6.5e-05,17.7,0.0065,236.9,795.5,1736.0,>,black,1.0,8.0,"CCMO, 2022"
CCMO-1490 ,P12,2022-08-11 00:00:00,0.184,0.00101,0.00995,,17.807,0.33,40.19,0.00472,0.011,0.0008,0.003,6.5e-05,0.1015,4e-05,132.7,491.3,1038.0,*,black,1.0,8.0,"CCMO, 2022"
CCMO-1950 ,IM200,2022-08-18 00:00:00,0.307,0.0705,0.01415,,0.145,0.008,62.53,0.0097,0.01275,0.00545,0.003,6.5e-05,25.636,4e-05,222.921,832.43,1734.0,^,white,1.0,8.0,"CCMO, 2022"
CCMO-1951 ,IM270 G4,2022-08-18 00:00:00,0.28,0.02415,0.01545,,0.0025,0.008,58.64,0.00865,0.00344,0.005,0.003,6.5e-05,17.526,4e-05,197.538,767.989,1656.0,>,white,1.0,8.0,"CCMO, 2022"
CCMO-1952 ,P12,2022-08-18 00:00:00,0.156,0.00087,0.012,,11.121,0.324,36.93,0.00355,0.0064,0.0011,0.003,6.5e-05,0.1015,4e-05,125.643,434.247,1016.0,*,white,1.0,8.0,"CCMO, 2022"
CCMO-2573 ,IM200,2022-08-25 00:00:00,0.031,0.0443,0.00965,,0.037,0.045,55.6,0.0085,0.0093,0.0053,0.003,6.5e-05,17.1,4e-05,,731.7,1588.0,^,lightgray,1.0,8.0,"CCMO, 2022"
CCMO-2572 ,IM270 G4,2022-08-25 00:00:00,0.209,0.0256,0.0113,,0.035,0.023,54.03,0.0075,0.0047,0.00655,0.003,6.5e-05,15.5,4e-05,,742.2,1538.0,>,lightgray,1.0,8.0,"CCMO, 2022"
CCMO-2571 ,P12,2022-08-25 00:00:00,0.161,0.0027,0.00975,,7.265,0.309,36.34,0.00306,0.00315,0.00123,0.003,6.5e-05,0.1015,8e-05,,447.0,1016.0,*,lightgray,1.0,8.0,"CCMO, 2022"
CCMO-2570 ,IM200,2022-09-01 00:00:00,0.204,0.0292,0.00012,,0.038,0.054,77.67,0.0058,0.00536,0.00398,0.003,6.5e-05,19.185,8e-05,,801.599,1694.0,^,ghostwhite,1.0,8.0,"CCMO, 2022"
CCMO-2569 ,IM270 G4,2022-09-01 00:00:00,0.189,0.01506,0.01188,,0.278,0.008,77.8,0.00756,0.0128,0.00656,0.003,6.5e-05,15.945,4e-05,,722.148,1592.0,>,ghostwhite,1.0,8.0,"CCMO, 2022"
CCMO-2568 ,P12,2022-09-01 00:00:00,0.156,0.00222,0.00496,,7.283,0.401,49.4,0.0034,0.00644,0.00023,0.003,6.5e-05,0.1015,4e-05,,471.548,1000.0,*,ghostwhite,1.0,8.0,"CCMO, 2022"
CCMO-2959 ,IM60,2022-09-08 00:00:00,0.223,0.83,0.01565,,0.583,0.837,63.85,0.00615,1.55,0.00283,0.003,6.5e-05,28.1,0.0001,,1320.6,1485.0,s,darkseagreen,1.0,8.0,"CCMO, 2022"
CCMO-2960 ,IM200,2022-09-08 00:00:00,0.175,0.075,0.0173,,0.08,0.036,50.9,0.0073,0.0183,0.00484,0.003,6.5e-05,19.2,4e-05,,846.9,1151.0,^,darkseagreen,1.0,8.0,"CCMO, 2022"
CCMO-2958 ,P12,2022-09-08 00:00:00,0.13,0.00246,0.0091,,7.51,0.355,34.14,0.00208,0.0087,0.00076,0.003,6.5e-05,6.5,4e-05,,453.1,986.0,*,darkseagreen,1.0,8.0,"CCMO, 2022"
CCMO-2962 ,IM60,2022-09-14 00:00:00,0.272,0.764,0.01678,,2.412,1.254,76.77,0.01134,1.696,0.00234,0.003,6.5e-05,33.648,0.00024,,1449.609,2282.0,s,brown,1.0,8.0,"CCMO, 2022"
CCMO-2963 ,IM200,2022-09-14 00:00:00,0.21,0.0466,0.01276,,0.057,0.008,66.85,0.00734,0.0682,0.00454,0.003,6.5e-05,16.489,0.00025,,758.705,969.0,^,brown,1.0,8.0,"CCMO, 2022"
CCMO-2961 ,P12,2022-09-14 00:00:00,0.158,0.0036,0.0084,,15.583,0.317,0.175,0.00244,0.00099,0.00121,0.003,6.5e-05,0.1015,0.00182,,445.111,637.0,*,brown,1.0,8.0,"CCMO, 2022"
