;CO3;Ca;Cl;HCO3;K;Mg;Na;SO4;Label;Sample;Size;Alpha;Color;Marker
214;0.0;86.3;521.0;39.92;2.52;2.4;275.0;112.989;Rio Limari / Vertiente;LIM-LM-011;50;1;lime;v
215;21.0;24.0;215.0;118.0;1.8;29.0;141.0;72.0;Rio Limari / Vertiente;LIM-FF-029;50;1;lime;v
216;1.9;37.0;116.0;273.0;0.4;33.0;123.0;119.0;Rio Limari / Vertiente;LIM-FF-030;50;1;lime;v
217;7.2;40.5;47.268;256.24;2.73;30.5;50.0;1.22;Rio Limari / Vertiente;LIM-FF-117;50;1;lime;v
218;14.4;41.0;45.246;289.19;0.4;41.0;41.0;16.535;Rio Limari / Vertiente;LIM-FF-115;50;1;lime;v
219;0.0;192.5;29.967;359.84;0.8;38.8;56.3;397.854;Rio Limari / Vertiente;LIM-JC-019;50;1;lime;v
220;24.0;13.0;45.0;279.0;1.1;44.0;61.0;25.0;Rio Limari / Vertiente;LIM-FF-069;50;1;lime;v
221;15.92;55.0;236.097;224.14;3.4;31.5;147.5;75.636;Rio Limari / Vertiente;LIM-JC-069;50;1;lime;v
222;0.0;54.0;224.0;74.47;3.0;34.0;150.0;77.0;Rio Limari / Vertiente;LIM-LM-019;50;1;lime;v
223;3.6;85.0;506.02;14.64;1.8;0.05;265.0;107.59;Rio Limari / Vertiente;LIM-LL-002;50;1;lime;v
